CustomerID,R,F,M,R_score,F_score,M_score,RFM总得分,用户分层标签
12346.0,324,1,77183.6,1,1,5,7,沉睡预警客户
12347.0,1,7,4310.0,5,5,5,15,高价值客户
12348.0,74,4,1797.24,2,4,4,10,忠实复购客户
12349.0,17,1,1757.55,4,1,4,9,忠实复购客户
12350.0,309,1,334.4,1,1,2,4,流失低价值客户
12352.0,35,8,2506.04,3,5,5,13,高价值客户
12353.0,203,1,89.0,1,1,1,3,流失低价值客户
12354.0,231,1,1079.4,1,1,4,6,沉睡预警客户
12355.0,213,1,459.4,1,1,2,4,流失低价值客户
12356.0,21,3,2811.43,4,3,5,12,高价值客户
12357.0,32,1,6207.67,3,1,5,9,忠实复购客户
12358.0,0,2,1168.0600000000002,5,2,4,11,忠实复购客户
12359.0,56,4,6372.58,3,4,5,12,高价值客户
12360.0,51,3,2662.06,3,3,5,11,忠实复购客户
12361.0,286,1,189.9,1,1,1,3,流失低价值客户
12362.0,2,10,5226.23,5,5,5,15,高价值客户
12363.0,108,2,552.0,2,2,3,7,沉睡预警客户
12364.0,6,4,1313.1,5,4,4,13,高价值客户
12365.0,290,2,641.38,1,2,3,6,沉睡预警客户
12367.0,3,1,168.9,5,1,1,7,沉睡预警客户
12370.0,50,4,3545.69,3,4,5,12,高价值客户
12371.0,43,2,1887.96,3,2,4,9,忠实复购客户
12372.0,70,3,1298.04,3,3,4,10,忠实复购客户
12373.0,310,1,364.6,1,1,2,4,流失低价值客户
12374.0,24,1,742.9300000000001,4,1,3,8,沉睡预警客户
12375.0,9,2,457.5,5,2,2,9,忠实复购客户
12377.0,314,2,1628.12,1,2,4,7,沉睡预警客户
12378.0,128,1,4008.62,2,1,5,8,沉睡预警客户
12379.0,80,2,852.24,2,2,3,7,沉睡预警客户
12380.0,20,4,2724.81,4,4,5,13,高价值客户
12381.0,3,5,1845.31,5,4,4,13,高价值客户
12383.0,183,5,1850.56,1,4,4,9,忠实复购客户
12384.0,27,2,585.27,4,2,3,9,忠实复购客户
12386.0,336,2,401.9,1,2,2,5,流失低价值客户
12388.0,14,6,2780.6600000000003,4,4,5,13,高价值客户
12390.0,78,1,549.84,2,1,3,6,沉睡预警客户
12391.0,20,1,460.89,4,1,2,7,沉睡预警客户
12393.0,71,4,1582.6,2,4,4,10,忠实复购客户
