Country,total_sales,user_cnt
United Kingdom,7308391.5540000005,3921
Netherlands,285446.34,9
EIRE,265545.9,3
Germany,228867.14,94
France,209024.05,87
Australia,138521.31,9
Spain,61577.11,30
Switzerland,56443.95,21
Belgium,41196.34,25
Sweden,38378.33,8
Japan,37416.37,8
Norway,36165.44,10
Portugal,33439.89,19
Finland,22546.08,12
Singapore,21279.29,1
Channel Islands,20450.44,9
Denmark,18955.34,9
Italy,17483.24,14
Cyprus,13590.38,8
Austria,10198.68,11
Poland,7334.65,6
Israel,7221.69,3
Greece,4760.52,4
Iceland,4310.0,1
Canada,3666.38,4
USA,3580.39,4
Malta,2725.59,2
Unspecified,2667.07,4
United Arab Emirates,1902.28,2
Lebanon,1693.88,1
Lithuania,1661.06,1
European Community,1300.25,1
Brazil,1143.6,1
RSA,1002.3100000000001,1
Czech Republic,826.74,1
Bahrain,548.4,2
Saudi Arabia,145.92,1
