month,sales,user_count,order_count,avg_order_price,sales_growth_rate
2010-12,572713.89,885,1400,409.08135,
2011-01,569445.04,741,987,576.9453292806485,-0.57
2011-02,447137.35,758,998,448.03341683366733,-21.48
2011-03,595500.76,974,1321,450.79542770628314,33.18
2011-04,469200.361,856,1149,408.3554055700609,-21.21
2011-05,678594.56,1056,1555,436.39521543408364,44.63
2011-06,661213.6900000001,991,1393,474.66883704235465,-2.56
2011-07,600091.011,949,1331,450.85725845229155,-9.24
2011-08,645343.9,935,1281,503.78134270101486,7.54
2011-09,952838.382,1266,1756,542.6186685649203,47.65
2011-10,1039318.79,1364,1929,538.7863089683774,9.08
2011-11,1161817.3800000001,1665,2658,437.1020993227991,11.79
2011-12,518192.79000000004,615,778,666.0575706940874,-55.4
